Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
1620;FACULDADE SANTA RITA;FASAR
1621;FACULDADE NETWORK;NWK
1622;FACULDADE ITA EDUCACIONAL PAULISTA;
1623;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA;FCAA
1624;FACULDADE MARECHAL RONDON;FMR
1636;Faculdade Monte Pascoal;FMP
1637;FACULDADE DELMIRO GOUVEIA;FDG
1638;FACULDADE DO AMAZONAS;IAES
1639;FACULDADE HÉLIO ROCHA;FHR
1640;CENTRO UNIVERSITÁRIO AGES;UniAGES
1641;CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA;UNISBA
1642;Faculdade de Excelência UNEX de Itabuna;UNEX de Itabuna
1643;FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA;FAT
1645;Faculdade de Excelência UNEX de Jequié;UNEX de Jequié
1646;FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO;FECIPAR
1647;FACULDADE DE ENSINO E CULTURA DO CEARÁ;FAECE
1652;FACULDADE DE VITÓRIA;
1653;FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ;FACEC
1655;FACULDADE CENECISTA DE SETE LAGOAS;FCSL
1656;INSTITUTO DE ENSINO SUPERIOR DE TERESINA;IEST
1657;CENTRO UNIVERSITÁRIO UNISEP;CEUUN
1658;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;UNIGRANDE
1659;FACULDADE ESTÁCIO DE SÁ DE OURINHOS;FAESO
1660;CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;ESTÁCIO BRASÍLIA
1661;Faculdade Projeção de Sobradinho;FAPRO
1663;Centro Universitário Araguaia;UNIARAGUAIA
1664;FACULDADE DA SAÚDE E ECOLOGIA HUMANA;FASEH
1666;CENTRO UNIVERSITÁRIO UNIHORIZONTES;
1669;Afya Faculdade de Ciências Médicas de Ipatinga;AFYA IPATINGA
1670;FACULDADE ASA DE BRUMADINHO;IECEMB - FAB
1672;INSTITUTO ESPERANÇA DE ENSINO SUPERIOR;IESPES
1675;FACULDADE METROPOLITANA DA GRANDE RECIFE;UNESJ
1676;CENTRO UNIVERSITÁRIO SÃO MIGUEL;UNISÃOMIGUEL
1677;FACULDADE DE ENSINO SUPERIOR DO PIAUÍ;FAESPI
1679;FACULDADE DE CAMPINA GRANDE DO SUL;FACSUL
1680;Faculdade Unirb - Mossoró;F. UNIRB
1682;Faculdade Católica Salesiana de Macaé;FCSMA
1683;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE TERESINA;
1686;FACULDADE BARDDAL DE ARTES APLICADAS;
1690;FACULDADE DE SÃO VICENTE;FSV
1693;FACULDADE ITANHAÉM;FAITA
1694;ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI;ESUCRI
1696;FACULDADE SOBRESP DE CRISTALINA ;
1697;CENTRO UNIVERSITÁRIO FACOL;UNIFACOL
1699;FACULDADE DE EDUCAÇÃO DE JARU;UNICENTRO
1700;FACULDADE PROMOVE DE SETE LAGOAS;FSLMG
1701;FACULDADE MACHADO DE ASSIS;FAMA
1702;CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA;ESTÁCIO AMAZÔNIA
1703;Centro Universitário UniBRAS Rio Verde;UniBRAS
1708;CENTRO UNIVERSITARIO DO RECIFE;UNIPESU
1709;Centro Universitário Tiradentes de Pernambuco;UNIT PE
1711;CENTRO UNIVERSITÁRIO DE PRESIDENTE PRUDENTE;UNIPRUDENTE
1712;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA;FACET
1713;FACULDADE DE TECNOLOGIA DE SÃO VICENTE;FATEF
1714;ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING;ESIC
1716;Centro Universitário União das Américas Descomplica;UNIAMÉRICA 
1717;Faculdade de Imperatriz Wyden;Facimp Wyden
1718;CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;
1720;FACULDADE MINAS GERAIS;FAMIG
1721;FACULDADE DE VIÇOSA;FDV
1723;STRONG BUSINESS SCHOOL;
1725;FACULDADE XV DE AGOSTO;FAQ
1726;CENTRO UNIVERSITÁRIO SANTA AMÉLIA;SECAL
1727;FACULDADE DE CARIACICA;FAC DE CARIACICA
1728;FACULDADE INTERAMERICANA DE PORTO VELHO;UNIRON
1732;FACULDADE GENNARI E PEARTREE;FGP
1733;FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON;ISEPE  RONDON
1734;Centro Universitário Facid Wyden;UNIFACID WYDEN
1735;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;UNILEÃO
1736;CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO;UNILASALLE/RJ
1739;Faculdade Unibras Gama;FACBRAS
1742;Centro Universitário de Tecnologia Carlos Drummond de Andrade;
1743;FACULDADE DE TECNOLOGIA OSWALDO CRUZ;FATEC OSWALDO CRUZ
1745;Faculdade Interativa de São Paulo;FAISP
1749;FACULDADE LUSO-BRASILEIRA;FALUB
1752;FACULDADE AUTÔNOMA DE DIREITO;FADISP
1753;FACULDADE DE ENFERMAGEM NOVA ESPERANÇA;FACENE
1756;FACULDADE ASSOCIADA BRASIL;FAB
1758;FACULDADE INDEPENDENTE DO NORDESTE;FAINOR
1759;Gran Centro Universitário;GRAN
1762;Centro Universitário de Tecnologia e Negócios Carlos Drummond de Andrade;UniTen CDA
1766;FACULDADE ESPÍRITO SANTENSE;UNICAPE
1772;Centro Universitário Fanor Wyden;UniFanor Wyden
1773;CENTRO UNIVERSITÁRIO FAI;
1774;Faculdade Anhanguera De Ponta Grossa;
1775;Centro Universitário Favip Wyden;UniFavip Wyden
1776;Faculdade Anhanguera de Tecnologia de Jundiaí;
1777;Centro Universitário Uniasselvi de Guaramirim;
1779;FACULDADE AIEC;AIEC / FAAB
1780;FACULDADE HORIZONTINA;FAHOR
1781;FACULDADE INTESP;INTESP
1783;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;FACISA
1785;FACULDADE DE COLIDER;FACIDER
1786;INSTITUTO MACHADENSE DE ENSINO SUPERIOR;IMES
1788;FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA;FAAL
1789;FACULDADE CATUAÍ;ICES
1790;FACULDADE DO SUL DA BAHIA;FASB
1797;FACULDADES LONDRINA;
1800;Faculdade REGES de Realeza;
1801;FACULDADE DOM BOSCO DE UBIRATÃ;DOM BOSCO UBIRATÃ
1804;FACULDADE DE MAUÁ - FAMA;FAMA
1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES;UNIFG
1807;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCE
1808;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFES
1809;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE
1810;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFSP
1811;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;IFG
1812;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS;IFAM
1813;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;IFPA
1815;FACULDADE DO INSTITUTO BRASIL;FIBRA
1816;INSTITUTO DE ENSINO SUPERIOR DE BAURU;IESB
1817;Faculdade Estácio de Curitiba;ESTÁCIO CURITIBA
1818;FACULDADE ANHANGUERA DE BELO HORIZONTE;
1819;CENTRO UNIVERSITÁRIO FARIAS BRITO;
1820;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ;IFPI
1821;FACULDADE LIONS;FAC-LIONS
1822;Centro Universitário Sul-Americana;UNIFASAM
1823;INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ;IESAP
1827;FACULDADE LUTERANA DE TEOLOGIA;FLT
1828;ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO;ESCOLA DA CIDADE
1830;FACULDADE ANHANGUERA DE PASSO FUNDO;
1832;FACULDADE DE JABOTICABAL;FAJAB
1834;FACULDADE DE AGUDOS;FAAG
1835;Faculdade de Colinas do Tocantins;
1836;CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB;UNIFEOB
1838;FACULDADES INTEGRADAS RIO BRANCO;FRB
1840;CENTRO UNIVERSITÁRIO CASTELO BRANCO;UNICB
1841;CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE;TOLEDO PRUDENTE
1842;FACULDADES INTEGRADAS MACHADO DE ASSIS;FEMA
1843;FACULDADE DE ADMINISTRAÇÃO DE CAMPO BELO;FACAMP
1844;FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA;FISMA
1846;CENTRO UNIVERSITÁRIO DE LINS;UNILINS
1847;FACULDADE ANHANGUERA DE IMPERATRIZ;
1850;Centro Universitário Santa Maria da Glória;UNISMG
1851;ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS;EBAPE
1852;FACULDADE SABERES;SABERES
1853;Centro Universitário UNIBTA;
1854;CLARETIANO - CENTRO UNIVERSITÁRIO;
1856;FACULDADE DO NORTE NOVO DE APUCARANA;FACNOPAR
1857;FACULDADE DEHONIANA;DEHONIANA
1862;FACULDADE DA REGIÃO SERRANA;FARESE
1863;FACULDADE INTERVALE;INTERVALE
1864;FACULDADE DA ASSOCIAÇÃO BRASILIENSE DE EDUCAÇÃO;FABE
1866;Faculdade de Ciências Educacionais e Empresariais de Natal;FACEN
1867;FACULDADE SANTOS DUMONT;FSD
1869;CENTRO UNIVERSITÁRIO DE ITAJUBÁ;FEPI
1870;FACULDADES INTEGRADAS REGIONAIS DE AVARÉ;FIRA
1872;CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ
1874;FACULDADE DE TECNOLOGIA DE OURINHOS;FATEC
1875;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE IBITINGA;FAIBI
1876;FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU;FMPFM
1878;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS;FEI
1879;Centro Universitário UNIFACEAR;Unifacear
1880;FACULDADE CASA DO ESTUDANTE;FACE
1881;FACULDADE DA ESCADA;FAESC
1883;CENTRO UNIVERSITÁRIO UNIME;UNIME
1884;FACULDADE DE RANCHARIA;
1885;CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO;UNDB
1892;Centro Universitário de Excelência Eniac;ENIAC
1893;Faculdade Unirb - Feira de Santana;F. UNIRB
1894;FACULDADE EUROPÉIA DE TECNOLOGIA E CIÊNCIAS HUMANAS - EUROTECH;EUROTECH
1895;CENTRO UNIVERSITÁRIO CHRISTUS;UNICHRISTUS
1898;FACULDADE DO LITORAL SUL PAULISTA;FALS
1900;Centro Universitário de Ensino, Ciência e Tecnologia do Paraná;UniEnsino
1902;FACULDADE SANTO AGOSTINHO;FACSA
1903;FACULDADE CRISTO REI;FACCREI
1906;INSTITUTO DE ENSINO SUPERIOR MATERDEI;IES-MATERDEI
1907;FACULDADE EDUCACIONAL DE COLOMBO;FAEC
1908;FACULDADE BRASILEIRA CRISTÃ ;FBC
1909;FACULDADES DOCTUM DE IPATINGA;
1910;FACULDADE UNINASSAU LAURO DE FREITAS;
1913;CENTRO UNIVERSITÁRIO FAMINAS;UNIFAMINAS
1917;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL;UNINASSAU
1918;Centro Universitário Univinte;
1921;FACULDADE DE SÃO BENTO;FSB
1923;FACULDADE  ARNALDO JANSSEN;FAJANSSEN
1927;Ugv Centro Universitário;
1928;Faculdade CNEC Capitão Lemos Cunha;
1930;INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO;SINGULARIDADES/ISESP
1931;INSTITUTO DE ENSINO SUPERIOR FRANCISCANO;IESF
1932;FACULDADE PALOTINA;FAPAS
1933;FACULDADE BIRIGUI;FABI
1934;Faculdade FASIPE;FASIPE
1936;CENTRO UNIVERSITÁRIO LA SALLE;UNILASALLE - LUCAS
1937;FACULDADE EVANGÉLICA DE SALVADOR;FACESA
1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL;INESUL
1940;FACULDADE DE NOVA SERRANA;FANS
1941;FACULDADE CATÓLICA DE CUIABÁ;FACC-CBA
1945;FACULDADE ANHANGUERA DE SORRISO;
1946;Faculdade Lumina;Lumina
1948;FACULDADE DE ENSINO SUPERIOR DA PARAÍBA;FESP
1949;CENTRO UNIVERSITÁRIO DE PAULÍNIA;UNIFACP
1952;CENTRO UNIVERSITÁRIO CATHEDRAL;
1956;FACULDADE UNIRB - ALAGOAS;F. UNIRB
1958;Centro Universitário SENAI Blumenau;
1961;INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA;ITCSAS/CENSA
1962;INSTITUTO SUPERIOR DE EDUCAÇÃO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA;ISECENSA
1964;FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO;HOTEC
1965;Centro Universitário Mario Pontes Jucá;UMJ
1966;FACULDADE ALBERT EINSTEIN;FALBE
1967;FACULDADE DO VALE DO ITAPECURÚ;FAI
1968;FACULDADE BRASILEIRA DE TECNOLOGIA;FBT
1970;Faculdade Multivix de Cachoeiro;Multivix Cachoeiro
1972;Faculdade de São Caetano do Sul;
1974;INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAXIAS;ISEC
1977;CENTRO DE ESTUDOS SUPERIORES APRENDIZ;CESA
1978;Centro Universitário Fametro; Unifametro
1980;FACULDADE SINERGIA;SINERGIA
1984;Centro Universitário Unifacig;
1986;CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA;
1988;CENTRO UNIVERSITARIO AVANTIS;UNIAVAN
1995;FACULDADE DE MEDICINA NOVA ESPERANÇA;FAMENE
1996;INSTITUTO CUIABÁ DE ENSINO E CULTURA;ICEC
1998;INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL;ISEED
2005;FACULDADE ANHANGUERA DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP;FACISAS
2009;FACULDADE DE TAQUARITINGA;FTGA
2015;INSTITUTO SANTO TOMÁS DE AQUINO;ISTA
2021;FACULDADE JK - UNIDADE II - GAMA;
2022;FACULDADE DE ROLIM DE MOURA;FAROL
2023;Centro Universitário FG;UNIFG
2027;FACULDADE DE CAMPINA GRANDE;FAC-CG
2035;FACULDADE FATIFAJAR JAGUARIAÍVA;FAJAR
2036;Faculdade Estácio do Pará - Estácio FAP;ESTÁCIO FAP
2039;FACULDADE CIDADE LUZ;FACILUZ
2040;FACULDADE DO FUTURO;FAF
2041;FACULDADE SUDAMÉRICA;SUDAMÉRICA
2042;FACULDADE FIGUEIREDO COSTA - FIC;
2043;CENTRO UNIVERSITÁRIO VALE DO SALGADO;
2045;FACULDADE AMADEUS;FAMA
2049;INSTITUTO DE ESTUDOS SUPERIORES DO MARANHÃO;IESMA
2054;FACULDADE DE EDUCAÇÃO DE NOVA ANDRADINA;FENA
2056;FACULDADE DA ALTA PAULISTA;FAP
2058;FACULDADE METROPOLITANA;UNNESA
2067;Centro Universitário de Ciências e Empreendedorismo;UNIFACEMP
2069;FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS;FATECH
2072;FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL;IEVAL
2075;INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS;IESA
2076;CENTRO UNIVERSITÁRIO UNIRB;UNIRB
2079;FACULDADE DE ITAITUBA;FAI
2082;Afya Faculdade de Ciências Médicas da Paraíba;AFYA PARAÍBA
2084;FACULDADE CNEC NOVA PETRÓPOLIS;
2085;CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA
2086;INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU;IESFI
2091;INSTITUTO SUPERIOR DE EDUCAÇÃO PRÓ-SABER;ISEPS
2096;FACULDADE DOCTUM DE MANHUAÇU - DOCTUM;FCM
2111;CENTRO UNIVERSITÁRIO INTA;UNINTA
2113;FACULDADE DOM BOSCO DE PORTO ALEGRE;FDB
2117;Faculdade Multiversa de Palotina;Multiversa
2122;CENTRO UNIVERSITÁRIO ESTÁCIO DE SERGIPE;
2123;CENTRO UNIVERSITÁRIO MAX PLANCK;UniMAX
2124;FACULDADE CALAFIORI;CALAFIORI
2126;ESCOLA DE DIREITO DO RIO DE JANEIRO;DIREITO RIO
2128;Escola de Direito de São Paulo - FGV DIREITO SP;FGV DIREITO SP
2129;ESCOLA DE ECONOMIA DE SÃO PAULO;EESP
2131;FACULDADE DE SÃO BERNARDO DO CAMPO;FAPAN
2132;CENTRO UNIVERSITÁRIO UNINORTE;
2133;Faculdade de Ciências, Educação e Teologia do Norte do Brasil ;FACETEN
2134;FACULDADE ASSEMBLEIANA DO BRASIL;
2135;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ;UNICATÓLICA
2137;FACULDADE SÃO MARCOS;FASAMAR
2140;FACULDADE NOSSA SENHORA DE LOURDES;FNSL
2141;FACULDADES BATISTA DO PARANÁ;FABAPAR
2145;FACULDADE PROMOVE DE TECNOLOGIA;FPTEC
2147;Centro Universitário CEUNI - FAMETRO;FAMETRO
2148;FACULDADE DE PALMAS;FAPAL
2149;FACULDADE MATO GROSSO DO SUL;FACSUL
2150;CENTRO UNIVERSITÁRIO DO PIAUÍ;UNIFAPI
2154;INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA;ISAT
2156;FACULDADE SÃO TOMÁS DE AQUINO;FACESTA
2158;Centro Universitário Santa Maria;Unifsm
2160;FACULDADE SANT ANA;IESSA
2163;FACULDADE EUGÊNIO GOMES;FEG
2165;FACULDADE FOZ DO IGUAÇU;FAFIG
2171;INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR;IBHES
2174;FACULDADE DE SANTA CATARINA;FASC
2175;Centro Universitário Uniasselvi de Blumenau;
2177;Faculdade Instituto Paulista de Ensino ;FIPEN
2180;RATIO - FACULDADE TEOLÓGICA E FILOSÓFICA;RATIO
2183;CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ;CUFSA
2184;FACULDADE CNEC GRAVATAÍ;
2186;FACULDADE SALESIANA DOM BOSCO;FSDB
2189;FACULDADE DO MARANHÃO;FACAM-MA
2191;FACULDADE ANHANGUERA DE PELOTAS;
2192;INSTITUTO SUPERIOR DE EDUCAÇÃO IVOTI;ISEI
2194;FACULDADE ANHANGUERA DO RIO GRANDE;
2198;Faculdade Brasileira de Inovação;FABIN
2200;FACULDADE VALE DO GORUTUBA;FAVAG
2202;INSTITUTO SUPERIOR DE EDUCAÇÃO DE GUARATUBA;ISEPE Guaratuba
2205;Faculdade REGES de Tupi Paulista;
2220;Faculdade Doctum de Juiz de Fora;DOCTUM
2222;Centro Universitário do Rio São Francisco Unirios;UNIRIOS
2229;FACULDADE UNIS SÃO LOURENÇO;
2233;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE;FACISABH
2237;FACULDADE TEOLÓGICA BATISTA EQUATORIAL;FATEBE
2240;FACULDADE DE FORTALEZA;FAFOR
2241;CENTRO UNIVERSITÁRIO DO SUDESTE MINEIRO;UNICSUM
2242;FACULDADE DO RECIFE;FAREC
2244;FACULDADE DA CIDADE DE MACEIÓ;FACIMA
2246;FACULDADE METROPOLITANA DE CIENCIAS E TECNOLOGIA;FAMEC
2248;FACULDADE SERGIPANA;FASER
2256;Faculdade Stella Maris - FSM;FSM
2257;FACULDADE DIADEMA;FAD
2264;FACULDADE DE COMUNICAÇÃO ANHANGUERA UNIDADE GUARAPARI;
2266;FACULDADE UNIÃO DE GOYAZES FORMOSA;FUG
2270;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA;FAEX
2271;FACULDADE ANHANGUERA DE IPATINGA;
2279;Centro Universitário Metrocamp Wyden;UniMetrocamp Wyden
2287;ESCOLA SUPERIOR DE TEOLOGIA E ESPIRITUALIDADE FRANCISCANA;ESTEF
2288;FACULDADE ALMEIDA RODRIGUES;FAR
2289;FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO;UCESP
2297;FACULDADE DE DIREITO DE SANTA MARIA;FADISMA
2301;FACULDADE FIDELIS;FF
2311;FACULDADE KENNEDY DE MINAS GERAIS - FKMG;FKMG
2319;ESCOLA SUPERIOR DE EDUCAÇÃO CORPORATIVA;ESEC
2320;INSTITUTO SUPERIOR DE EDUCAÇÃO ATENEU;ISEAT
2323;FACULDADE DA AMAZÔNIA;FAMA
2324;Faculdade Anhanguera de São José-SC;FASJ-SC
2328;FACULDADE ITEANA DE BOTUCATU;FITB
2332;Faculdade Ibero Americana de São Paulo;FIASP
2334;FACULDADE CNEC RIO DAS OSTRAS;
2336;CENTRO UNIVERSITÁRIO BRASÍLIA DO ESTADO DE GOIÁS ;UniBRASÍLIA
2342;INSTITUTO SUPERIOR DE EDUCAÇÃO CERES;ISE-CERES
2343;Centro Univeritário UniVOLTAIRE;UniVOLTAIRE
2346;INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER;IFIBE
2350;ESCOLA SUPERIOR MADRE CELESTE;ESMAC
2351;FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS;PIO XII - DIR
2352;INSTITUTO DE EDUCAÇÃO SUPERIOR PIO XII;PIO XII
2355;FACULDADE ANHANGUERA DE MATÃO;
2356;FACULDADE PAN AMERICANA;FPA
2361;FACULDADE PADRÃO;-
2365;CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;UNICATÓLICA
2368;FACULDADE SÃO LEOPOLDO MANDIC;
2369;INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO;INESA
2380;Faculdade Estácio do Amapá - Estácio Amapá;ESTÁCIO AMAPÁ
2383;Faculdade Atitus Educação Passo Fundo;Atitus Educação
2389;FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI;FFTP
2397;FACULDADE FUCAPE;FUCAPE
2399;FACULDADE DE SOROCABA;
2402;Centro Universitário UNIFTC;
2408;FACULDADE ESAMC SANTOS;ESAMC
2409;CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA;ASCES-UNITA
2410;Centro Universitário Cearense;Unic
2413;FACULDADE DE ENSINO SUPERIOR DE FLORIANO;FAESF
2420;FACULDADE PARANAENSE;FAPAR
2423;FACULDADE DE CIÊNCIA E TECNOLOGIA DE MONTES CLAROS;FACIT
2426;Centro Universitário Fibra;UNIFIBRA
2427;FACULDADE LUSÓFONA DA BAHIA;FL-BA
2428;FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS;FACICA
2436;Instituto de Ensino Superior Brasileiro;ESB
2437;FACULDADE ANHANGUERA DE TEIXEIRA DE FREITAS;
2440;FACULDADE CIDADE DE JOÃO PINHEIRO;FCJP
2442;FACULDADE DE CIÊNCIAS BIOMÉDICAS DO ESPÍRITO SANTO;PIO XII - BIO
2443;FACULDADE FUNORTE DE JANAÚBA;
2444;Faculdade Unirb - Barreiras;F. UNIRB
2450;FACULDADE PROMOVE DE BELO HORIZONTE;PROMOVE
2459;FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ;FEAPA
2460;FACULDADE ESTÁCIO DE NATAL;Estacio Natal
2462;FACULDADE SÃO LUÍS;FSL
2465;FACULDADE IBMEC SÃO PAULO;IBMEC SP
2466;FACUDADE IEDUCARE - FIED;FIED
2468;INSTITUTO TEOLÓGICO FRANCISCANO;ITF
2469;INSTITUTO MACAPAENSE DE ENSINO SUPERIOR;IMMES
2470;INSTITUTO SALVADOR DE ENSINO E CULTURA;ISEC
2474;CENTRO UNIVERSITÁRIO MARIA MILZA;UNIMAM
2475;FACULDADE DOM LUCIANO MENDES;FDLM
2477;FACULDADE DE ADMINISTRAÇÃO DE MARIANA;FAMA
2478;FACULDADE DE INTEGRAÇÃO DO ENSINO SUPERIOR DO CONE SUL;FISUL
2484;Centro Universitário Processus;UNIPROCESSUS
2485;FACULDADE CATÓLICA DE FORTALEZA;FCF
2491;INSTITUTO SUPERIOR DE EDUCAÇÃO DO CECAP;ISCECAP
2494;Centro Universitário FUNVIC;UNIFUNVIC
2497;CENTRO UNIVERSITÁRIO ATENEU;
2500;FACULDADE EINSTEIN;
2501;CENTRO UNIVERSITÁRIO ESTÁCIO DE GOIÁS;ESTÁCIO GOIÁS
2511;FACULDADE DE DIREITO ANHANGUERA UNIDADE GUARAPARI;
2513;Faculdade Positivo Londrina;FPL
2514;Faculdade de Ciências Educacionais do Rio Grande do Norte;FACERN
2521;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ;ISESPI
2530;FACULDADE DE GUARULHOS;FAG
2532;FACULDADE SOBRESP DE PIRES DO RIO;
2536;Instituto de Educação e Inovação;IEDi
2537;Faculdade Multivix Cariacica;MULTIVIX CARIAC
2538;FACULDADE VENDA NOVA DO IMIGRANTE;FAVENI
2539;FACULDADE EVANGÉLICA DO MEIO NORTE;FAEME
2548;FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL;FATEFIG
2554;FACULDADE DE EDUCAÇÃO SANTA TEREZINHA;FEST
2556;FIAM-FAAM - CENTRO UNIVERSITÁRIO;UNIFIAM-FAAM
2560;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;FAESF/UNEF
2564;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG
2565;ABEU - CENTRO UNIVERSITÁRIO;UNIABEU
2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO
2568;FACULDADE ZACARIAS DE GÓES;FAZAG
2569;FACULDADE DE TECNOLOGIA FAESA;CET-FAESA
2571;CENTRO UNIVERSITÁRIO REDENTOR;FACREDENTOR
2572;FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS;FAC
2573;FACULDADE TEOLÓGICA SUL AMERICANA;FTSA
2575;FACULDADES INTEGRADAS SOARES DE OLIVEIRA;FISO
2576;FACULDADE ANHANGUERA UNIDADE GUARAPARI;
2579;CENTRO UNIVERSITÁRIO ATENAS;UniAtenas
2581;FACULDADE SÃO SALVADOR;FSS
2582;FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ;UCP
2591;EPGE Escola Brasileira de Economia e Finanças;FGV EPGE
2593;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE JUAZEIRO DO NORTE;UNINASSAU
2613;Centro Universitário Estácio Meta de Rio Branco Estácio;UNIMETA
2616;FACULDADE SANTO ANTÔNIO DE PÁDUA;FASAP
2617;FACULDADE SÃO BENTO DO RIO DE JANEIRO;FSB/RJ
