Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
231;FACULDADE DE SÃO BERNARDO DO CAMPO - FASB;FASB I
234;FACULDADES OSWALDO CRUZ;FOC
240;UNIVERSIDADE SANTA ÚRSULA;USU
242;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;
243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM
244;CENTRO UNIVERSITÁRIO FIEO;UNIFIEO
254;CENTRO UNIVERSITÁRIO UNI-BAN;UNI-BAN
263;FACULDADES INTEGRADAS CAMPOS SALLES;FICS
265;CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS;Unifio
266;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP
267;CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;
269;FACULDADE FACCAT;FACCAT
270;FACULDADE DE TUPÃ;
271;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE
275;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP
276;FACULDADE DE DIREITO DE SOROCABA;FADI
277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UNISUAM
278;FACULDADES INTEGRADAS SIMONSEN;FIS
279;FACULDADES INTEGRADAS HÉLIO ALONSO;FACHA
284;FACULDADE DE MEDICINA DE ITAJUBÁ;FMIT
288;FACULDADE DE DIREITO DO VALE DO RIO DOCE;FADIVALE
294;FACULDADE TRÊS DE MAIO;SETREM
295;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC
296;Centro Universitário da Região da Campanha;
298;Universidade Pitágoras Unopar Anhanguera;Unopar
299;FACULDADE DE JANDAIA DO SUL;FAFIJAN
307;FACULDADE DE MEDICINA DE BARBACENA;FAME
308;CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS;UNIPAC
316;UNIVERSIDADE NOVE DE JULHO;UNINOVE
319;UNIVERSIDADE BRASIL;UB
322;UNIVERSIDADE PAULISTA;UNIP
330;UNIVERSIDADE IGUAÇU;UNIG
336;FACULDADE MACHADO SOBRINHO;FMS
337;Centro Universitário Academia;Uniacademia
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS
339;FACUDADE UNINEVES;
343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;NEWTON PAIVA
344;CENTRO UNIVERSITÁRIO UNA;UNA
345;ESCOLA DE ENGENHARIA KENNEDY;EEK
346;INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA;ISCA
349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;UNI-BH
351;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;FCMMG
352;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;UNIPÊ
353;FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ;FEMPAR
355;UNIVERSIDADE TUIUTI DO PARANÁ;UTP
360;Centro Universitário Paulistana;UNIPAULISTANA
